country,solar,area,productivity,productivity (absolute)
Germany,45784.0,357386,0.12810798408443533,128107.98408443533
EU & UK,127826.0,4475757,0.028559638067929067,28559.638067929067
Morocco,950.0,710850,0.0013364282197369346,1336.4282197369346
North Africa,1731.0,6026150,0.00028724807713050623,287.2480771305062
Brazil,3461.0,8515767,0.0004064225806084173,406.42258060841726
