"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Australia","Electricity - total net installed capacity of electric power plants, wind","2000","Kilowatts,  thousand","33",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","1999","Kilowatts,  thousand","10",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","1998","Kilowatts,  thousand","3",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","1997","Kilowatts,  thousand","2","1"
"Australia","Electricity - total net installed capacity of electric power plants, wind","1996","Kilowatts,  thousand","2","1"
"Australia","Electricity - total net installed capacity of electric power plants, wind","1995","Kilowatts,  thousand","2",""
"Australia","Electricity - total net installed capacity of electric power plants, wind","1994","Kilowatts,  thousand","2",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","3133",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","2887",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","2730",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","2489",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","2110",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","1675",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","1337",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","1106",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","1016",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2009","Kilowatts,  thousand","1001",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2008","Kilowatts,  thousand","992",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2007","Kilowatts,  thousand","991",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2006","Kilowatts,  thousand","968",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2005","Kilowatts,  thousand","825",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2004","Kilowatts,  thousand","581",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2003","Kilowatts,  thousand","322",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2002","Kilowatts,  thousand","109",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2001","Kilowatts,  thousand","67",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","2000","Kilowatts,  thousand","50",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","1999","Kilowatts,  thousand","38",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","1998","Kilowatts,  thousand","34",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","1997","Kilowatts,  thousand","15",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","1996","Kilowatts,  thousand","3",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","1995","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","1994","Kilowatts,  thousand","1",""
"Austria","Electricity - total net installed capacity of electric power plants, wind","1993","Kilowatts,  thousand","1",""
"Azerbaijan","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","66.04",""
"Azerbaijan","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","15.7",""
"Azerbaijan","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","15.7",""
"Azerbaijan","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","7.7",""
"Azerbaijan","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","2.7",""
"Azerbaijan","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","2.7",""
"Azerbaijan","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","0",""
"Bahrain","Electricity - total net installed capacity of electric power plants, wind","2019","Kilowatts,  thousand","1","1"
"Bahrain","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","1","1"
"Bahrain","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","1","1"
"Bahrain","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","1",""
"Bahrain","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","1",""
"Bangladesh","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","1","1"
"Bangladesh","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","1","1"
"Bangladesh","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","1","1"
"Bangladesh","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","1","1"
"Bangladesh","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","1","1"
"Bangladesh","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","1","1"
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","100.9",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","84",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","62",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","7",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","3",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","2",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","2",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","2",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","1.5",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2009","Kilowatts,  thousand","1.5",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2008","Kilowatts,  thousand","1",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2007","Kilowatts,  thousand","1",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2006","Kilowatts,  thousand","1",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2005","Kilowatts,  thousand","1",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2004","Kilowatts,  thousand","1",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2003","Kilowatts,  thousand","1",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2002","Kilowatts,  thousand","1",""
"Belarus","Electricity - total net installed capacity of electric power plants, wind","2001","Kilowatts,  thousand","0",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","3261",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","2797",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","2370",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","2176",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","1944",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2013","Kilowatts,  thousand","1780",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2012","Kilowatts,  thousand","1370",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2011","Kilowatts,  thousand","1069",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2010","Kilowatts,  thousand","912",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2009","Kilowatts,  thousand","608",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2008","Kilowatts,  thousand","324",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2007","Kilowatts,  thousand","276",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2006","Kilowatts,  thousand","212",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2005","Kilowatts,  thousand","167",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2004","Kilowatts,  thousand","96",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2003","Kilowatts,  thousand","67",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2002","Kilowatts,  thousand","31",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2001","Kilowatts,  thousand","26",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","2000","Kilowatts,  thousand","14",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1999","Kilowatts,  thousand","10",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1998","Kilowatts,  thousand","6",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1997","Kilowatts,  thousand","5",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1996","Kilowatts,  thousand","5",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1995","Kilowatts,  thousand","5",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1994","Kilowatts,  thousand","5",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1993","Kilowatts,  thousand","5",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1992","Kilowatts,  thousand","5",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1991","Kilowatts,  thousand","5",""
"Belgium","Electricity - total net installed capacity of electric power plants, wind","1990","Kilowatts,  thousand","5",""
"Bhutan","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","0.6",""
"Bhutan","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","0.6",""
"Bhutan","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","0.6",""
"Bolivia (Plur. State of)","Electricity - total net installed capacity of electric power plants, wind","2018","Kilowatts,  thousand","27",""
"Bolivia (Plur. State of)","Electricity - total net installed capacity of electric power plants, wind","2017","Kilowatts,  thousand","27",""
"Bolivia (Plur. State of)","Electricity - total net installed capacity of electric power plants, wind","2016","Kilowatts,  thousand","27",""
"Bolivia (Plur. State of)","Electricity - total net installed capacity of electric power plants, wind","2015","Kilowatts,  thousand","3",""
"Bolivia (Plur. State of)","Electricity - total net installed capacity of electric power plants, wind","2014","Kilowatts,  thousand","3",""
